"b'2.1249218'","b'1.0498942'","b'1.6862177'","b'93323200000000.0'","b'1655871600000000.0'","b'334547750000000.0'","b'43'","b'9.096796'","b'-79.39481'","b'11258.681'","b'2020-02-16T18:56:57.430Z'"
"b'3.583357'","b'1.3079962'","b'1.3177577'","b'204902690000000.0'","b'1655871600000000.0'","b'334667740000000.0'","b'49'","b'9.044771'","b'-79.57312'","b'10123.505'","b'2020-02-17T19:40:02.317Z'"
"b'2.2261448'","b'1.0820832'","b'0.91981125'","b'207348540000000.0'","b'1655871600000000.0'","b'330722280000000.0'","b'35'","b'9.120417'","b'-79.37776'","b'14305.346'","b'2020-02-18T18:44:46.082Z'"
"b'2.861417'","b'1.1799866'","b'1.2127115'","b'195855340000000.0'","b'1655871600000000.0'","b'335609550000000.0'","b'46'","b'9.02145'","b'-79.677284'","b'21682.092'","b'2020-02-19T19:27:42.964Z'"
"b'2.5450168'","b'1.1733462'","b'1.0843161'","b'202403290000000.0'","b'1655871600000000.0'","b'333754660000000.0'","b'33'","b'9.082196'","b'-79.43608'","b'6658.176'","b'2020-02-20T18:32:36.730Z'"
"b'2.4433038'","b'1.1299573'","b'0.5612635'","b'264942440000000.0'","b'1655871600000000.0'","b'335403530000000.0'","b'51'","b'9.098674'","b'-79.36544'","b'14171.669'","b'2020-02-21T19:15:25.615Z'"
"b'3.0435803'","b'1.2723565'","b'1.0944722'","b'217423730000000.0'","b'1655871600000000.0'","b'331733340000000.0'","b'33'","b'9.100768'","b'-79.41174'","b'10029.479'","b'2020-02-22T18:20:29.386Z'"
"b'2.1586967'","b'1.0592315'","b'0.86134064'","b'214627170000000.0'","b'1655871600000000.0'","b'336278630000000.0'","b'47'","b'9.037629'","b'-79.36868'","b'12347.023'","b'2020-02-23T19:03:08.265Z'"
"b'3.7772102'","b'1.3984257'","b'1.6887391'","b'177301350000000.0'","b'1655871600000000.0'","b'331733200000000.0'","b'36'","b'9.043089'","b'-79.55556'","b'8190.5566'","b'2020-02-24T18:08:22.034Z'"
"b'3.8685842'","b'1.3617105'","b'1.3122034'","b'213045810000000.0'","b'1655871600000000.0'","b'335403530000000.0'","b'53'","b'8.945019'","b'-79.894135'","b'46650.707'","b'2020-02-24T19:46:15.148Z'"
"b'2.1288407'","b'1.2225424'","b'0.8116373'","b'221354560000000.0'","b'1655871600000000.0'","b'336278360000000.0'","b'69'","b'9.03029'","b'-79.40477'","b'8474.258'","b'2020-02-25T18:50:54.912Z'"
"b'3.1173282'","b'1.2598189'","b'1.1790639'","b'207558720000000.0'","b'1655871600000000.0'","b'334547620000000.0'","b'53'","b'8.941105'","b'-79.847725'","b'41821.95'","b'2020-02-26T19:33:55.793Z'"
"b'2.3413248'","b'1.1359396'","b'0.6735234'","b'246644940000000.0'","b'1655871600000000.0'","b'333026530000000.0'","b'36'","b'9.104702'","b'-79.37999'","b'13104.367'","b'2020-02-27T18:38:45.560Z'"
"b'2.593157'","b'1.1505635'","b'0.82320476'","b'235073500000000.0'","b'1655871600000000.0'","b'335403800000000.0'","b'50'","b'9.046551'","b'-79.697624'","b'23800.121'","b'2020-02-28T19:21:38.441Z'"
"b'2.7617385'","b'1.2788905'","b'1.1223288'","b'206847640000000.0'","b'1655871600000000.0'","b'334402260000000.0'","b'40'","b'9.005177'","b'-79.501915'","b'4696.123'","b'2020-02-29T18:26:36.204Z'"
